Round 0,,,,,,,,,,
330,795.0529093,,,,,,,,,
360,763.2212297,,,,,,,,,
390,875.641251,,,,,,,,,
420,790.7356858,,,,,,,,,
450,742.6324399,,,,,,,,,
480,738.0184481,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
334.2446531,,,,,,,,,,
399,410,436,439,422,407,391,128,424,406, 
time spent,17.31351733,,,,,,,,,
,,,,,,,,,,
30,1288.27502,,,,,,,,,
60,396.8171869,,,,,,,,,
90,97.16538797,,,,,,,,,
120,52.4529462,,,,,,,,,
150,31.59279509,,,,,,,,,
180,26.60927919,,,,,,,,,
210,10.3872777,,,,,,,,,
240,4.773245204,,,,,,,,,
270,4.727284553,,,,,,,,,
300,4.543441949,,,,,,,,,
330,3.256762361,,,,,,,,,
360,2.367801914,,,,,,,,,
390,1.852003415,,,,,,,,,
420,0.577281892,,,,,,,,,
450,0.503798018,,,,,,,,,
480,0.484175766,,,,,,,,,
real_GA_uniform_CO:,,,,,,,,,,
0.484175766,,,,,,,,,,
420.0329204,421.7065757,421.3075475,420.7776595,419.8805522,420.8889954,420.9236911,420.215842,421.6134796,421.2680033, 
time spent,7.484294415,,,,,,,,,
,,,,,,,,,,
30,2421.15326,,,,,,,,,
60,1632.956579,,,,,,,,,
90,1081.415168,,,,,,,,,
120,611.9315585,,,,,,,,,
150,431.3860357,,,,,,,,,
180,242.4807495,,,,,,,,,
210,124.8620475,,,,,,,,,
240,98.11601959,,,,,,,,,
270,13.32556039,,,,,,,,,
300,9.312384374,,,,,,,,,
330,5.75377459,,,,,,,,,
360,2.772718972,,,,,,,,,
390,2.091771922,,,,,,,,,
420,1.439049603,,,,,,,,,
450,0.911501612,,,,,,,,,
480,0.740852096,,,,,,,,,
real_GA_whole_arithmetic_CO:,,,,,,,,,,
0.703551359,,,,,,,,,,
420.5189789,421.8252942,420.5305794,419.6995341,422.2120936,420.6428678,420.4357809,420.633236,420.0817411,420.9700801, 
time spent,8.532661915,,,,,,,,,
,,,,,,,,,,
Round 6,,,,,,,,,,
30,1634.227758,,,,,,,,,
60,1159.428784,,,,,,,,,
90,880.0380827,,,,,,,,,
120,629.5504975,,,,,,,,,
150,527.2672325,,,,,,,,,
180,660.604617,,,,,,,,,
210,749.8531707,,,,,,,,,
240,608.5274964,,,,,,,,,
270,340.3800035,,,,,,,,,
300,443.2223921,,,,,,,,,
330,506.0447676,,,,,,,,,
360,532.8526018,,,,,,,,,
390,662.2126624,,,,,,,,,
420,484.4859011,,,,,,,,,
450,494.8533375,,,,,,,,,
480,502.492952,,,,,,,,,
binary_GA_uniform_CO:,,,,,,,,,,
314.8953922,,,,,,,,,,
436,392,410,396,419,389,423,465,414,397, 
time spent,18.01900053,,,,,,,,,
,,,,,,,,,,
30,1579.235832,,,,,,,,,
60,929.721961,,,,,,,,,
90,813.9669612,,,,,,,,,
120,692.8097232,,,,,,,,,
150,740.4684821,,,,,,,,,
180,665.9842295,,,,,,,,,
210,683.5206437,,,,,,,,,
240,537.1425595,,,,,,,,,
270,628.0409184,,,,,,,,,
300,728.622591,,,,,,,,,
330,608.9159417,,,,,,,,,
360,436.2793718,,,,,,,,,
390,457.1405787,,,,,,,,,
420,517.3762351,,,,,,,,,
450,701.6555973,,,,,,,,,
480,706.0096729,,,,,,,,,
binary_GA_2point_CO:,,,,,,,,,,
