================,,,
Normal with aver over 30,,,
================,,,
GA1:,,,
fitness, slope,,
451.0589774,-0.144706403,,
450.914271,-7.305455775,,
443.6088152,-1.192585027,,
442.4162302,-0.753518404,,
441.6627118,-0.151116044,,
441.5115958,-0.445753565,,
441.0658422,-1.190132219,,
439.87571,-1.820065176,,
438.0556448,-0.268997193,,
437.7866476,0.249420119,,
438.0360677,-1.802712362,,
436.2333554,-8.261181254,,
427.9721741,4.209331498,,
432.1815056,-2.947568831,,
429.2339368,-0.955927495,,
428.2780093,-1.134686482,,
427.1433228,-0.47009513,,
426.6732277,0.476996153,,
427.1502238,-4.108483474,,
423.0417403,-0.960096814,,
422.0816435,-0.43409945,,
421.6475441,-1.201280287,,
420.4462638,1.212718986,,
421.6589828,-1.803908485,,
419.8550743,-1.30207191,,
418.5530024,-0.391094517,,
418.1619079,-1.040165357,,
417.1217425,-0.435892248,,
416.6858503,-3.609269792,,
413.0765805,-6.563244489,,
406.513336,-1.995359771,,
404.5179762,-1.828248327,,
402.6897279,-0.051793283,,
402.6379346,-2.351416791,,
400.2865178,-0.618846824,,
399.667671,-0.1281415,,
399.5395295,-0.782592664,,
398.7569368,-0.095419448,,
398.6615174,-1.673250208,,
396.9882672,-0.0300815,,
396.9581857,-0.136124129,,
396.8220615,-0.099633029,,
396.7224285,-1.639135401,,
395.0832931,-0.356346566,,
394.7269465,-1.808444408,,
392.9185021,-1.230988728,,
391.6875134,-0.002142743,,
391.6853707,-1.773417308,,
389.9119534,-1.791706874,,
388.1202465,-3.347840723,,
384.7724058,0.077018133,,
384.8494239,-2.257865931,,
382.591558,-1.067836107,,
381.5237219,-0.020644975,,
381.5030769,1.72079517,,
383.2238721,0.024889212,,
383.2487613,-0.00495663,,
383.2438046,-2.054329436,,
381.1894752,-0.289178471,,
380.9002967,-1.125958753,,
379.774338,-0.945139153,,
378.8291988,-1.291986354,,
377.5372125,-0.672423392,,
376.8647891,-0.023032849,,
376.8417562,-1.155738167,,
375.6860181,-0.5546239,,
375.1313942,-3.080234432,,
372.0511597,-1.523933137,,
370.5272266,-0.050461299,,
370.4767653,-0.414476976,,
370.0622883,-4.387678044,,
365.6746103,-0.286818537,,
365.3877917,-0.28181591,,
365.1059758,-0.043651363,,
365.0623245,0.254670496,,
365.316995,-0.182021589,,
365.1349734,-0.465216166,,
364.6697572,-0.079633779,,
364.5901234,-0.858436083,,
363.7316873,0.130168435,,
363.8618558,-0.128781926,,
363.7330738,-1.67183554,,
362.0612383,-0.144161164,,
361.9170771,-0.541497479,,
361.3755797,-0.000982244,,
361.3745974,-0.575720257,,
360.7988772,-0.296649069,,
360.5022281,-1.035930406,,
359.4662977,0.915362333,,
360.38166,-0.150674375,,
360.2309856,-1.375839641,,
358.855146,-1.030833087,,
357.8243129,-4.988275004,,
352.8360379,-1.665546216,,
351.1704917,0.559173376,,
351.7296651,-0.676559367,,
351.0531057,-0.188278341,,
350.8648274,0.17364129,,
351.0384687,-0.268926959,,
350.7695417,-1.774614181,,
348.9949275,-0.349261867,,
348.6456657,-2.47885289,,
346.1668128,-0.005674688,,
346.1611381,-1.962525756,,
344.1986123,-0.376284314,,
343.822328,-0.714458176,,
343.1078698,-0.180766587,,
342.9271032,-0.259109079,,
342.6679942,-0.003326976,,
342.6646672,-1.832003618,,
340.8326636,-0.459304665,,
340.3733589,2.165976684,,
342.5393356,-0.020292274,,
342.5190433,-0.121250082,,
342.3977932,0.025288253,,
342.4230815,-0.072015444,,
342.351066,-2.456226218,,
339.8948398,-0.959134801,,
338.935705,0.801730821,,
339.7374358,1.510540668,,
341.2479765,-0.011576054,,
341.2364005,-0.206427134,,
341.0299733,-0.790862838,,
340.2391105,-0.302476833,,
339.9366337,-0.627190807,,
339.3094428,0.00450959,,
339.3139524,-0.244334234,,
339.0696182,-9.52E-05,,
339.069523,-1.361050576,,
337.7084724,-2.214879082,,
335.4935933,-0.71218693,,
334.7814064,0.818407956,,
335.5998143,-0.196896736,,
335.4029176,-0.214996292,,
335.1879213,-0.136015068,,
335.0519062,-2.847897266,,
332.204009,-1.693789069,,
330.5102199,0.470329271,,
330.9805492,-2.02E-05,,
330.980529,-1.98902045,,
328.9915085,-5.86E-06,,
328.9915026,-0.586069167,,
328.4054335,-0.916812746,,
327.4886207,-0.185680307,,
327.3029404,-0.075818522,,
327.2271219,-1.220264166,,
326.0068577,-0.259976722,,
325.746881,-0.021781972,,
325.725099,-0.310535047,,
325.414564,-0.000494589,,
325.4140694,-1.7130357,,
323.7010337,-0.377062073,,
323.3239716,-0.024102929,,
323.2998687,-0.179680354,,
323.1201883,0.0240963,,
323.1442847,-2.170725087,,
320.9735596,-0.00612986,,
320.9674297,-0.020099597,,
320.9473301,-0.665401498,,
320.2819286,-1.228443733,,
319.0534849,0.460710272,,
319.5141951,-0.124728286,,
319.3894669,-0.262630648,,
319.1268362,-0.608821867,,
318.5180143,-2.24E-05,,
318.5179919,-0.236195446,,
